action_id,frame_filename,image_path,team,number,raw_class,x_feet,y_feet,bbox_x,bbox_y,bbox_w,bbox_h
azione_01,out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,datasets\azione_01\train\out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,Red,12,Red_12,802.365,1101.44,770,959,64.73,142.44
azione_01,out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,datasets\azione_01\train\out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,White,34,White_34,921.915,1233.3,887,1040,69.83,193.3
azione_01,out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,datasets\azione_01\train\out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,White,27,White_27,1097.585,1227.55,1049,1027,97.17,200.55
azione_01,out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,datasets\azione_01\train\out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,White,25,White_25,1683.4,1075.63,1640,921,86.8,154.63
azione_01,out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,datasets\azione_01\train\out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,White,13,White_13,1824.14,1281.45,1780,1076,88.28,205.45
azione_01,out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,datasets\azione_01\train\out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,White,16,White_16,2056.0,1124.91,2028,939,56.0,185.91
azione_01,out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,datasets\azione_01\train\out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,Ref,-,Refree_M,2246.21,1474.71,2180,1212,132.42,262.71
azione_01,out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,datasets\azione_01\train\out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,Red,0,Red_0,1788.825,1018.42,1760,866,57.65,152.42
azione_01,out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,datasets\azione_01\train\out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,Ball,-,Ball,813.46,1018.63,803,997,20.92,21.63
azione_01,out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,datasets\azione_01\train\out13_frame_0001_png.rf.7c88fdea1b9bcb932738d79c70a12539.jpg,Red,11,Red_11,980.575,1103.69,945,960,71.15,143.69
